Period,Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
Last3,"Weast, Ivan",OKC,35,C,ML,131,0.29199999999999998,0.35799999999999998,0.42,312,91,14,1,8,39,41,32,27,0,0,11,0
Last3,"Webb, Marcus",LOUI,34,LF,ML,338,0.29099999999999998,0.39900000000000002,0.443,1263,367,28,4,52,213,178,228,219,0,1,37,1
Last3,"Weber, Potsie",MAIN,25,3B,ML,181,0.31,0.37,0.47199999999999998,646,200,50,5,15,94,92,62,86,1,4,23,4
Last3,"Wellings Jr, Jason",CHES,28,CF,ML,305,0.32600000000000001,0.35199999999999998,0.51100000000000001,955,311,55,7,36,158,149,39,154,31,14,28,0
Last3,"Wilbur, Tim",MAIN,26,3B,ML,15,0.22700000000000001,0.22700000000000001,0.36399999999999999,22,5,0,0,1,7,4,0,3,1,0,2,0
Last3,"Wilkerson, Paul",SF,28,CF,ML,320,0.33200000000000002,0.374,0.46400000000000002,1180,392,97,7,15,173,140,79,143,2,0,46,0
Last3,"Willey, Jess",LOUI,31,RF,ML,101,0.23699999999999999,0.32,0.42599999999999999,312,74,13,2,14,49,44,38,70,0,0,10,0
Last3,"Williams, Duncan",OKC,26,SS,ML,196,0.26300000000000001,0.318,0.33400000000000002,335,88,11,2,3,36,40,27,34,3,0,17,0
Last3,"Wilson, Woody",PORT,30,1B,ML,331,0.32100000000000001,0.39200000000000002,0.54500000000000004,1270,408,70,2,70,223,284,148,139,0,2,63,2
Last3,"Wood, Andre",LOUI,24,C,ML,22,0.30299999999999999,0.36099999999999999,0.47,66,20,2,0,3,8,13,6,11,0,0,0,0
Last3,"Woodall, Fern",WISC,26,LF,ML,334,0.27900000000000003,0.35599999999999998,0.45,1149,320,44,6,47,172,174,139,192,0,4,41,4
